cat_num,term,bracketed,field,number,title,faculty,description,prerequisites,notes,meetings,building,room
8667,FALL,FALSE,PORTUG,98,"Tutorial-Junior Year",6632425ea99f117bd5ef1e09574b2437,"Weekly individual instruction for juniors pursuing a thesis honors track in Portuguese and Brazilian Studies, culminating in the writing of a 20-25 page research paper in Portuguese.",,"Successful completion of Portuguese 98 (or equivalent) is required of all thesis-track honors concentrators in Portuguese-Brazilian Studies. To enroll see course head.","Hours to be arranged",,
8667,SPRING,FALSE,PORTUG,98,"Tutorial-Junior Year",6632425ea99f117bd5ef1e09574b2437,"Weekly individual instruction for juniors pursuing a thesis honors track in Portuguese and Brazilian Studies, culminating in the writing of a 20-25 page research paper in Portuguese.",,"Successful completion of Portuguese 98 (or equivalent) is required of all thesis-track honors concentrators in Portuguese-Brazilian Studies. To enroll see course head.","Hours to be arranged",,
8668,FALL,FALSE,ENG-SCI,303,"Topics in Electronic Materials and Semiconductor Heterostructure Physics",c9d83a1a398d93e4b98fe5879e5f7f94,,,,,,
8668,SPRING,FALSE,ENG-SCI,303,"Topics in Electronic Materials and Semiconductor Heterostructure Physics",c9d83a1a398d93e4b98fe5879e5f7f94,,,,,,
8671,FALL,FALSE,ENG-SCI,378,"Transport Phenomena and Biomaterials for Drug Delivery",1da11c7235e102b8132ad9f29d828f94,,,,,,
8671,SPRING,FALSE,ENG-SCI,378,"Transport Phenomena and Biomaterials for Drug Delivery",1da11c7235e102b8132ad9f29d828f94,,,,,,
86716,FALL,TRUE,HIST,74l,"The New Deal and American Liberalism",f8649cdb68955a28e2bfc520deb4ba77,"This course studies the responses to the Great Depression that formed the New Deal. Particular attention will be paid to the connection of between policy development and the rise of American Liberalism. Major topics include Social Security, economic redistribution, Keynesianism, social planning, regulatory reform, conservative critiques of the New Deal and others.",,,"Hours to be arranged",,
8672,FALL,FALSE,COMPSCI,361,"Programming Languages and Semantics",0d385eae518092ada5b41e8c64bb0f13,,,,,,
8672,SPRING,FALSE,COMPSCI,361,"Programming Languages and Semantics",0d385eae518092ada5b41e8c64bb0f13,,,,,,
86755,SPRING,TRUE,VES,241,"New Media Theory",7ee315cd84690f3848f0513bb2565bb9,"A new graduate course that surveys new developments in media theory and provides an overview of advanced approaches to the study of media. We will look at different schools and streams of thought that productively expand and transform the established corpus of media theory, ranging from cultural technologies, media archaeology, and object studies to non-representational theory, actor network theory, and process philosophy. Two research projects will further advance our critical survey of new media theory.",,"This course has an additional weekly film screening, Tuesdays, 3-5 pm.","W. 12-2 with a weekly film screening Tu., 3-5.",,
8676,FALL,FALSE,PHYSICS,15c,"Wave Phenomena","618e2d812144167df04dea9b9882fcdb,cbb522a1316c7aefa0c61b37327d9552","Forced oscillation and resonance; coupled oscillators and normal modes; Fourier series; Electromagnetic waves, radiation, longitudinal oscillations, sound; traveling waves; signals, wave packets and group velocity; two- and three-dimensional waves; polarization; geometrical and physical optics; interference and diffraction. Optional topics: Water waves, holography, x-ray crystallography, and solitons.","Physics 15a, Physics 15b, or written permission of the Head Tutor in Physics. Mathematics preparation at least at the level of Mathematics 21b taken concurrently is required. Some prior knowledge of complex numbers (for example as taught in Mathematics 1b) is helpful. Linear algebra and differential equations are used extensively. Students taking Mathematics 21b concurrently will likely find that some concepts are introduced in Physics 15c before they have seen them in Mathematics 21b. Some students may wish to postpone Physics 15c until they have completed Mathematics 21b.","Principles of Scientific Inquiry (PSI) is the laboratory component of Physics 15c. Topics include experimental design, model testing, error analysis, basic programming, oral presentations, and scientific writing. PSI will meet weekly throughout the semester. This course, when taken for a letter grade, meets the General Education requirement for Science of the Physical Universe or Empirical and Mathematical Reasoning, but not both.","Tu., Th., 1-2:30",,
8676,SPRING,FALSE,PHYSICS,15c,"Wave Phenomena","d5da4ad9a60144994d3e0594c41e3f09,ee02cee081dde73f303e6fa508c9066b","Forced oscillation and resonance; coupled oscillators and normal modes; Fourier series; Electromagnetic waves, radiation, longitudinal oscillations, sound; traveling waves; signals, wave packets and group velocity; two- and three-dimensional waves; polarization; geometrical and physical optics; interference and diffraction. Optional topics: Water waves, holography, x-ray crystallography, and solitons.","Physics 15a, Physics 15b, or written permission of the Head Tutor in Physics. Mathematics preparation at least at the level of Mathematics 21b taken concurrently is required. Some prior knowledge of complex numbers (for example as taught in Mathematics 1b) is helpful. Linear algebra and differential equations are used extensively. Students taking Mathematics 21b concurrently will likely find that some concepts are introduced in Physics 15c before they have seen them in Mathematics 21b. Some students may wish to postpone Physics 15c until they have completed Mathematics 21b.","Principles of Scientific Inquiry (PSI) is the laboratory component of Physics 15c. Topics include experimental design, model testing, error analysis, basic programming, oral presentations, and scientific writing. PSI will meet weekly throughout the semester. This course, when taken for a letter grade, meets the General Education requirement for Science of the Physical Universe or Empirical and Mathematical Reasoning, but not both.","Tu., Th., 1-2:30",,
86765,SPRING,FALSE,HIST,1433,"American Populisms: Thomas Jefferson to the Tea Party",f8649cdb68955a28e2bfc520deb4ba77,"This course studies the American Populist tradition that defines the common ""people"" as the centerpiece of American economic and political life and thrives on opposition between the people and ""elite"" interests. The class focuses on the formal Populist movement and the People's Party of the late nineteenth century, and places this history in broader context, from Jeffersonian tradition through the rise of anti-elitist and anti-government movements characterized by Rush Limbaugh, Sarah Palin, and the rise of the Tea Party.",,,"M., W., at 11, and a weekly section to be arranged.",,
8682,FALL,FALSE,BCMP,353,"Epigenomics and Chromatin Systems Biology",a3caa541aff74089db9c1ed7fc235514,,,,,,
8682,SPRING,FALSE,BCMP,353,"Epigenomics and Chromatin Systems Biology",a3caa541aff74089db9c1ed7fc235514,,,,,,
86835,FALL,FALSE,HBTM,356,"Genetic Models of Leukemogenesis",765fd1c64fe83ce5602a96fd2a07daf1,,,,,,
86835,SPRING,FALSE,HBTM,356,"Genetic Models of Leukemogenesis",765fd1c64fe83ce5602a96fd2a07daf1,,,,,,
86866,SPRING,FALSE,MBB,980k,"Fighting Cancer with the Mind",,"Using contemporary mind-body practices as context, examines evidence (or lack of evidence) linking psychological practices with cancer survival. We will (1) review theoretical foundations for these links including psychoanalysis, psychoneuroimmunology, and cognitive-behavioral therapy; (2) analyze legitimation of mind-body practices for cancer in popular media; (3) interview mind-body medicine practitioners; and (4) examine published scientific data. Students will choose one mind-body practice for in-depth study, analyzing its underlying theories, scientific evidence, and appeal to patients.",,,"W., 1-3",,
8687,FALL,FALSE,BIOPHYS,363,"Biophysics of Receptor-Ligand Interactions",a8ef0f7c3306cc1b15bb773ef064691b,,,,,,
8687,SPRING,FALSE,BIOPHYS,363,"Biophysics of Receptor-Ligand Interactions",a8ef0f7c3306cc1b15bb773ef064691b,,,,,,
8691,FALL,TRUE,CULTR&BLF,47,"The Darwinian Revolution",0e4b62e32bb1a3424230b69b8db1c1c5,"Why is evolutionary theory so controversial in the public sphere? This course looks to the history of cultural changes in the West for answers. We cover the intellectual structure and social context of evolutionary ideas as they emerged in the 19th and 20th centuries, emphasizing Darwinism as a major transformation in Western thought. Topics include key aspects of Darwin's ideas; the comparative reception of Darwinism in Britain, US, Germany, Russia and France; social Darwinism, eugenics and racial theories; early genetics and the search for the gene; religious controversy then and now. The course alternates with Culture and Belief 20.",,"This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past.","M., W., (F.) at 10, and a weekly section to be arranged.",,
86926,SPRING,FALSE,EXPOS,20.280,"Expository Writing 20",,,,,"Hours to be arranged",,
87001,FALL,FALSE,FRSEMR,31q,"Literal Looking: What We See in Art",dd5da5e35720279c6f118465599d4e59,"What do we really see when we look at a work of art? This seminar is an exercise in evaluating artistic composition as it presents itself to the viewer. Primarily devoted to looking and talking about what we think we see, what we actually see, and how it informs interpretation, but with consideration as well of what experts say we should see - in order to explore the degree to which literal looking aids or is aided by contextually informed looking. Works by Raphael, Caravaggio, Bernini, Velazquez, Turner, Renoir, Sargent, Klimt, Schiele, Kandinsky, Bacon, Richter (subject to change).",,"Open to Freshmen only. The seminar includes a required field trip, date TBD.","M., 4-6",,
8701,FALL,FALSE,SYSTBIO,200,"Dynamic & Stochastic Processes in Cells","3eeb2b0834a965110887483bace19308,fd3371781aa0f7d727131a895e916523","Rigorous introduction to (i) dynamical systems theory as a tool to understand molecular and cellular biology (ii) stochastic processes in single cells, using tools from statistical physics and information theory.","College-level calculus.","Students planning to take both quarter courses (SB303 and 304) must enroll in this as a half course on their study card as SysBio200 for now and in the future. Students who take one half of this quarter can NOT ever take the other half for credit.","Tu., Th., 10-11:30, and a weekly section to be arranged.",,
87028,FALL,FALSE,BCMP,390,"Gene Regulation Studied with Small Molecules",a936179d342bcba34f72da8d484a081b,,,,,,
87028,SPRING,FALSE,BCMP,390,"Gene Regulation Studied with Small Molecules",a936179d342bcba34f72da8d484a081b,,,,,,
8703,FALL,FALSE,MCB,115,"Cellular Basis of Neuronal Function",2eea5e5725779046e3de8e4eae548841,"The essential function of a neuron is to processes complex signals derived from the external world. To accomplish this function, neurons employ diverse mechanisms that respond to chemical and electrical signals with incredible sensitivity and plasticity. In this course, we will study these electrical, molecular, and cellular processes using biophysical and biological approaches. Specifically, we will explore topics on excitable membranes, neurotransmission, ion channels, dendritic integration, intracellular signaling, and synaptic plasticity in the context of various model circuits in the brain.",,,"M., W., F., at 2",,
8704,SPRING,TRUE,OEB,103,"Plant Systematics and Evolution",55e827dc1724c8b7d5c2a3f17c2fb816,"An introduction to the diversity and evolution of vascular plants. The course focuses mainly on flowering plants because of their dominant role on the earth, but lycophytes, ferns, and gymnosperms are studied as well. A phylogeny of vascular plants provides the framework for their evolution and diversification. Related subjects, including plant habitats, biogeography, phylogenetics, herbaria, nomenclature, and pollination biology are also presented in lecture and laboratory.","OEB 10 or permission of instructor.","There are two midterms, a final, and frequent lab quizzes.","Tu., Th., 10&#8211;11:30, and a four hour lab on Fridays.",,
87072,FALL,FALSE,HIST,2950hf,"Approaches to Global History: Seminar","2f6ff94b260c5dbf633391a3ba54c2e4,f75fd45a8a397a68a944e33157a26feb","Approaches to global history, including economic and labor systems, cultural transfer, imperial frameworks, migration, and environmental challenges. Students will prepare and present a research paper as well cover common readings.",,,"M., 4-6",,
87072,SPRING,FALSE,HIST,2950hf,"Approaches to Global History: Seminar","2f6ff94b260c5dbf633391a3ba54c2e4,f75fd45a8a397a68a944e33157a26feb","Approaches to global history, including economic and labor systems, cultural transfer, imperial frameworks, migration, and environmental challenges. Students will prepare and present a research paper as well cover common readings.",,,"M., 4-6",,
87077,FALL,TRUE,SOCIOL,98Bc,"The Logic of Cultural Comparison",2029f57903c68868dbbff50916fe5038,"In the context of recent theoretical advances in cultural sociology, the course considers how culture can be systematically compared across populations. While carrying out independent empirical studies, students will navigate the central problems associated with comparative cultural research: defining and measuring cultural phenomena, identifying appropriate units of cultural variation, understanding between- and within-unit heterogeneity, and demonstrating culture's causal effects.","Sociology 97","Required of and limited to Sociology concentrators. Spring Tutorials are by assignment only.","Th., 11-1",,
